entry,exit,total_trades,win_rate,total_pnl,profit_factor,max_drawdown
E6_MACD,EX4_MACD,11,0.5454545454545454,-57532.99113197073,0.7833888763884183,146128.9107858839
E6_MACD,EX2_MACD,11,0.5454545454545454,-57532.99113197073,0.7833888763884183,146128.9107858839
E2,EX1_MACD,78,0.3076923076923077,-67098.43727297313,0.9797585212541267,1186346.8952684884
E3_MACD,EX1,10,0.4,-90145.08005884805,0.8620400702235099,341834.53884999594
E1_MACD,EX5,35,0.2,-92933.98015761173,0.9212706579196267,806838.0660398765
E3_MACD,EX7,12,0.5,-94378.48518585398,0.725868184394897,146128.91078588378
E3_MACD,EX2,12,0.5,-94378.48518585398,0.725868184394897,146128.91078588378
E3_MACD,EX4,12,0.5,-94378.48518585398,0.725868184394897,146128.91078588378
E6_MACD,EX6,11,0.36363636363636365,-99950.89067658043,0.6551045052905115,157245.65385487583
E6_MACD,EX5_MACD,11,0.36363636363636365,-99950.89067658043,0.6551045052905115,157245.65385487583
E6_MACD,EX1_MACD,11,0.36363636363636365,-99950.89067658043,0.6551045052905115,157245.65385487583
E6_MACD,EX3_MACD,11,0.36363636363636365,-99950.89067658043,0.6551045052905115,157245.65385487583
E1,EX5,97,0.2268041237113402,-105307.16253993008,0.9685065453953751,1374992.4727514999
E3,EX7,48,0.39583333333333326,-107288.77070027601,0.9288457598847201,379100.85231181514
E3,EX4,48,0.39583333333333326,-107288.77070027601,0.9288457598847201,379100.85231181514
E2,EX5,72,0.25,-115466.2932906982,0.9627248979039615,1290711.4800239536
E3_MACD,EX2_MACD,12,0.5,-136209.4201953555,0.6043660206333992,159252.1844030033
E3_MACD,EX7_MACD,12,0.5,-136209.4201953555,0.6043660206333992,159252.1844030033
E3_MACD,EX4_MACD,12,0.5,-136209.4201953555,0.6043660206333992,159252.1844030033
E2,EX1,52,0.28846153846153844,-141927.76485105522,0.955359045541106,1504027.125197718
E2,EX3,70,0.2571428571428571,-146149.052313535,0.9532825570647833,1386259.6174396689
E3,EX2,48,0.39583333333333326,-147194.53655948024,0.9048970921571021,419006.61817101936
E3,EX4_MACD,48,0.39583333333333326,-149119.70570977754,0.9011033561412025,389157.436528055
E3,EX7_MACD,48,0.39583333333333326,-149119.70570977754,0.9011033561412025,389157.436528055
E2,EX5_MACD,83,0.3132530120481928,-168391.98130176647,0.9486481266768134,1164955.2013449827
E1,EX3_MACD,118,0.288135593220339,-175994.2441743855,0.9552668583603173,1493588.4630001986
E3_MACD,EX3_MACD,12,0.33333333333333326,-178627.3197399652,0.5152279553412034,178627.31973996526
E3_MACD,EX1_MACD,12,0.33333333333333326,-178627.3197399652,0.5152279553412034,178627.31973996526
E3_MACD,EX6,12,0.33333333333333326,-178627.3197399652,0.5152279553412034,178627.31973996526
E3_MACD,EX5_MACD,12,0.33333333333333326,-178627.3197399652,0.5152279553412034,178627.31973996526
E3,EX2_MACD,48,0.39583333333333326,-189025.47156898177,0.8778699779028766,429063.20238725934
E2_MACD,EX3_MACD,27,0.3703703703703704,-194468.01277216148,0.7648875607696968,319087.3325518931
E2_MACD,EX5_MACD,27,0.3703703703703704,-194468.01277216148,0.7648875607696968,319087.3325518931
E2_MACD,EX1_MACD,27,0.3703703703703704,-264391.45420248026,0.7052660211912094,389010.77398221195
E2_MACD,EX6,27,0.3703703703703704,-264391.45420248026,0.7052660211912094,389010.77398221195
E2,EX3_MACD,82,0.3170731707317073,-281921.61096786754,0.9169036757653314,1343350.2094039624
E1,EX5_MACD,121,0.2727272727272727,-312211.22175534634,0.9223576451003727,1389381.7665957012
E1_MACD,EX5_MACD,40,0.3,-434201.89653696644,0.6288875543638032,499745.7110267784
E1_MACD,EX1_MACD,41,0.2926829268292683,-436491.47113142326,0.6786609106817951,692890.2952966861
E1_MACD,EX3_MACD,40,0.3,-444934.8846869874,0.623170904135634,510478.69917679933
E1,EX7,234,0.4230769230769231,-477673.5185460062,0.8965076970435178,1051187.90764925
E2,EX7,127,0.3464566929133859,-512521.0664553036,0.844822220939048,789549.8456591192
E2,EX4,127,0.3464566929133859,-512521.0664553036,0.844822220939048,789549.8456591192
E1_MACD,EX6,41,0.2926829268292683,-517921.21119196154,0.6402778733346829,774320.0353572244
E1,EX7_MACD,236,0.4279661016949153,-525002.0940884651,0.8862535316180441,1051187.9076492498
E2,EX2,127,0.3464566929133859,-552426.8323145079,0.8347365936816524,829455.6115183234
E2,EX7_MACD,129,0.34883720930232553,-559849.6419977626,0.8306432143854504,806290.5486371121
E2,EX4_MACD,129,0.34883720930232553,-559849.6419977626,0.8306432143854504,806290.5486371121
E2,EX2_MACD,129,0.34883720930232553,-599755.4078569667,0.820735576916805,846196.3144963162
E1,EX1,71,0.2535211267605634,-628006.680680823,0.838629674774278,1743199.4669191847
MACD_DOTEN,MACD_DOTEN,110,0.3181818181818182,-768403.9905480393,0.8366151111594055,1933135.2446568813
E1,EX1_MACD,126,0.31746031746031744,-945182.9782704953,0.8195508319271901,1787786.740104819
E1,EX4,319,0.4200626959247649,-1124877.186801334,0.8081233592787087,1195551.2762727444
E1,EX2,318,0.42138364779874216,-1157923.526262487,0.8035935823360711,1228597.6157338973
E1,EX4_MACD,321,0.4236760124610592,-1172205.762343793,0.8000502574398902,1216193.113859105
E1,EX2_MACD,320,0.425,-1205252.1018049456,0.7955657326857275,1249239.4533202578
